Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1769762633232,0.848256,7.150352,6.289534,-0.091477,0.004276,-0.209679
1769762633254,0.135793,7.380661,6.345766,-0.090408,0.004429,-0.214414
1769762633273,0.623928,7.042077,6.727421,-0.108734,-0.025809,-0.213650
1769762633295,0.469591,7.000801,6.160322,-0.102473,-0.026878,-0.217010
1769762633314,1.073181,7.466205,6.863812,-0.098197,-0.014508,-0.192881
1769762633333,1.162912,7.351948,6.025726,-0.077885,0.014050,-0.150425
1769762633355,0.750748,7.704889,6.314659,-0.073609,0.046578,-0.136681
1769762633375,1.045065,6.539584,6.574878,-0.079260,0.046578,-0.111941
1769762633395,0.997807,6.857830,7.587042,-0.065057,0.034667,-0.133779
1769762633417,0.760918,6.201598,7.910073,-0.084757,0.014661,-0.144317
1769762633435,0.136989,5.454439,7.406384,-0.062766,-0.059559,-0.249691
1769762633458,-0.080758,7.101898,7.628319,-0.063225,-0.086590,-0.271835
1769762633477,1.919044,5.238487,7.896913,-0.080940,-0.124311,-0.320093
1769762633498,1.468595,6.157929,7.964510,-0.102473,-0.144775,-0.336281
1769762633518,1.706681,5.647061,7.909475,-0.097127,-0.166919,-0.385914
1769762633539,1.063011,5.855835,7.543374,-0.105069,-0.172264,-0.396451
1769762633558,-0.046062,6.701100,7.264011,-0.132252,-0.178525,-0.398742
1769762633580,0.145962,6.623931,6.826723,-0.160199,-0.194866,-0.303142
1769762633599,1.648057,7.080362,6.472585,-0.153938,-0.146913,-0.274431
1769762633620,1.010369,6.623931,7.197610,-0.124922,-0.109650,-0.244193
1769762633638,1.025923,6.202196,7.814361,-0.091324,-0.094989,-0.237779
1769762633660,0.416949,6.193821,7.569096,-0.073151,-0.099571,-0.257021
1769762633679,-0.081356,5.766703,8.096115,-0.100793,-0.135765,-0.268628
1769762633700,0.562313,5.377271,8.250452,-0.098502,-0.206167,-0.337656
1769762633722,-0.634098,5.749355,8.291130,-0.122173,-0.316123,-0.486859
1769762633741,-0.774676,6.348757,7.519445,-0.115912,-0.407294,-0.578031
1769762633762,-0.249452,7.288538,6.668199,-0.111941,-0.423177,-0.586125
1769762633781,0.765703,8.184052,6.242276,-0.103847,-0.383012,-0.510683
1769762633800,0.796810,8.158329,6.181259,-0.097433,-0.287565,-0.422413
1769762633823,0.187238,7.336394,6.796215,-0.062461,-0.176998,-0.271988
1769762633841,-0.628714,6.497710,7.363314,0.010996,-0.082161,-0.087354
1769762633864,-1.005584,6.400801,7.639685,0.022144,-0.036805,-0.005956
1769762633882,-0.842872,6.747760,7.722835,0.045968,0.007941,0.102625
1769762633904,0.562912,7.035497,7.027720,0.091324,0.073609,0.233503
1769762633923,0.384048,7.220941,6.879365,0.114995,0.154549,0.343764
1769762633951,-0.232702,6.905686,6.937391,0.143553,0.242208,0.463035
1769762633964,-0.851845,7.038488,7.130611,0.160963,0.286954,0.558483
1769762633987,0.037089,6.848856,6.793822,0.182343,0.313526,0.631176
1769762634006,0.500100,6.962516,6.373283,0.185397,0.318719,0.625831
1769762634024,0.722632,7.195218,6.083153,0.175776,0.317192,0.615141
1769762634047,0.833300,7.649256,6.102894,0.163712,0.323453,0.608269
1769762634065,1.551147,7.787441,6.535397,0.153327,0.318261,0.588721
1769762634087,1.182054,7.935796,5.584250,0.156381,0.312305,0.508698
1769762634107,1.172483,7.462018,6.102296,0.122020,0.301767,0.483041
1769762634128,0.679562,7.563114,5.964110,0.092851,0.268475,0.385914
1769762634147,0.784248,6.781857,6.352346,0.074984,0.247248,0.361632
1769762634169,0.943370,7.243672,6.556932,0.071013,0.212428,0.289397
1769762634188,1.494916,7.080362,7.078568,0.062919,0.145080,0.162490
1769762634211,0.946361,7.408777,4.932804,0.063683,0.127060,0.126449
1769762634229,0.649053,8.088339,6.117849,0.013286,0.101709,0.074373
1769762634248,0.877568,6.902695,6.543772,0.002749,0.098502,0.068417
1769762634274,1.615754,6.946962,8.045268,-0.015272,0.077122,0.029474
1769762634289,1.091127,6.980462,5.389235,0.028100,0.012065,-0.122326
1769762634311,2.143371,7.275377,7.739585,-0.075442,-0.073762,-0.214414
1769762634333,1.521835,7.195218,7.309475,-0.049022,-0.095906,-0.326965
1769762634353,0.332602,6.850053,5.233103,-0.049480,-0.111025,-0.386677
1769762634371,0.425324,6.821339,6.659225,-0.089186,-0.146608,-0.400727
1769762634391,0.157926,6.637690,7.353742,-0.092393,-0.191964,-0.453720
1769762634413,0.392423,7.174281,7.387242,-0.067501,-0.199295,-0.485179
1769762634432,0.838086,6.769295,6.276374,-0.090408,-0.224035,-0.464410
1769762634454,1.668396,6.961319,7.329216,-0.151647,-0.253814,-0.486859
1769762634474,1.201795,6.172884,5.931209,-0.117897,-0.273820,-0.543670
1769762634491,-0.432503,7.513463,6.329614,-0.144928,-0.304058,-0.603840
1769762634514,2.156531,6.934998,10.491929,-0.144928,-0.356898,-0.657138
1769762634533,-0.822533,6.155536,4.167699,-0.193339,-0.330325,-0.797789
1769762634555,1.182054,7.622935,8.218149,-0.142790,-0.450360,-0.809549
1769762634574,0.525823,6.343971,6.948159,-0.195477,-0.472504,-0.826042
1769762634596,-1.922633,6.512665,4.979464,-0.193644,-0.525955,-0.788321
1769762634615,1.238286,6.908677,8.631510,-0.176234,-0.533132,-0.777784
1769762634635,0.017946,7.731210,6.937989,-0.205709,-0.469602,-0.774577
1769762634657,-1.895115,5.309075,8.275578,-0.150273,-0.437074,-0.731663
1769762634681,-2.290529,7.253243,9.142377,0.035583,-0.352927,-0.521526
1769762634700,-2.133800,7.101299,5.322236,0.056810,-0.307570,-0.337961
1769762634718,-2.497509,6.739385,8.039286,0.065973,-0.180663,-0.089034
1769762634738,-5.361119,7.640283,7.939984,0.268322,-0.017410,0.338877
1769762634759,-3.768097,7.725826,6.969096,0.362701,0.123700,0.556192
1769762634780,-1.761716,7.874181,7.250851,0.447153,0.421344,1.044731
1769762634800,-1.417149,7.413563,6.270990,0.486248,0.530383,1.267239
1769762634819,-0.175274,7.117451,7.104888,0.520304,0.693026,1.526551
1769762634838,-0.876970,7.415956,6.318846,0.566119,0.879187,1.754556
