Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
8.7,1.009,-4.653,-15.6146,-1.098425,8.36806,4.129892,0.006017,-0.268872,0.046395,0
8.8,0.9643,-5.1466,-17.2275,-1.243191,8.400961,5.188357,0.031979,-0.142301,0.126816,0
8.9,1.3179,-6.4524,-18.5406,-1.662174,8.656754,5.032345,-0.006017,-0.049175,0.215055,0
9.0,1.3618,-6.8531,-19.513,-1.209572,8.053763,3.562195,-0.010721,0.082864,0.273667,0
9.1,1.7845,-7.1704,-20.3118,-0.978784,8.025647,3.466482,0.03262,0.188727,0.316886,0
9.2,1.7298,-7.0502,-21.6035,-0.717488,8.441041,7.208976,-0.061972,0.163498,0.221316,0
9.3,1.6042,-7.0475,-22.6232,-0.569492,7.792347,4.974439,-0.06524,-0.016341,-0.020464,0
9.4,1.9452,-8.1118,-22.6732,-1.591466,8.893643,3.896592,0.018448,-0.102687,-0.040714,0
9.5,1.9296,-8.6978,-22.2862,-1.257129,8.80484,4.814359,0.111406,0.101251,0.220522,0
9.6,1.9675,-9.3664,-21.538,0.036491,8.46126,3.817868,-0.00223,0.26087,0.295078,0
9.7,1.7306,-9.6945,-20.5357,-0.514217,8.19781,6.054679,0.070769,0.109192,-0.037202,0
9.8,1.626,-9.6798,-19.4475,-0.919442,8.809655,5.153661,0.055894,-0.081825,-0.149265,0
9.9,1.2512,-9.768,-18.4471,-0.864527,8.204151,4.445745,-0.040287,0.008613,0.025962,0
10.0,0.6844,-9.0238,-17.9266,-0.552024,8.456594,5.388158,0.075197,0.048411,0.041539,0
10.1,0.6041,-8.4152,-18.2304,-0.638166,8.564391,4.728577,0.040256,-0.012737,-0.022999,0
10.2,0.2271,-7.8274,-19.8239,-1.200958,8.185487,4.495396,0.066004,0.014478,0.034086,0
10.3,0.1225,-7.6728,-21.5227,-1.17691,8.778668,4.905167,-0.013164,0.17373,0.242147,0
10.4,0.5557,-7.7746,-22.4847,-0.624407,8.192307,5.101737,0.016493,0.259251,0.242238,0
10.5,0.4222,-7.644,-23.6843,-0.239402,8.384451,5.01763,-0.045387,0.144042,0.066004,0
10.6,0.5471,-8.0096,-24.4196,-0.320758,8.412207,4.690531,0.028161,0.106199,-0.03427,0
10.7,0.6248,-8.133,-24.1647,-0.782333,8.55458,4.945605,-0.070188,0.055711,-0.067531,0
10.8,0.6521,-8.2346,-23.4952,-0.951596,8.68789,4.958826,0.041539,0.0176,-0.099838,0
10.9,0.3363,-8.3349,-22.8745,-1.202513,8.25464,4.156094,-0.003879,0.03259,-0.004581,0
11.0,0.088,-8.7026,-22.2617,-0.432742,8.243035,4.965585,0.019242,0.090713,0.061514,0
11.1,-0.0651,-9.1805,-21.5714,-0.686979,8.623494,5.721957,-0.07422,-0.08772,-0.113529,0
11.2,0.2177,-9.4323,-20.9153,-0.779582,8.602437,4.073182,0.017409,-0.092363,-0.075228,0
11.3,0.4184,-9.6532,-20.6147,-1.070788,8.534361,5.040242,-0.061422,-0.007605,0.046701,0
11.4,0.5549,-9.5832,-20.6113,-1.015394,8.296395,4.827878,0.022999,0.02022,0.085246,0
11.5,0.6489,-9.2771,-21.3634,-0.661376,8.506365,5.228557,-0.006628,0.012859,0.088392,0
11.6,0.9057,-9.4361,-22.1277,-1.033221,8.358488,4.322873,0.026817,0.101189,0.173089,0
11.7,0.9633,-9.4042,-22.5588,-0.882832,8.489256,4.701418,-0.054489,0.226936,0.280509,0
11.8,1.0742,-9.5196,-22.6609,-0.704567,8.377033,5.346044,-0.021166,0.276233,0.235794,0
11.9,1.2121,-9.9901,-22.7755,-0.202792,8.572048,5.69408,-0.075258,0.227456,0.098441,0
12.0,1.1779,-10.7902,-22.7425,-0.277418,8.348857,4.602296,-0.016188,0.158672,-0.051542,0
12.1,1.3424,-11.9922,-22.1178,-0.51326,8.52802,4.529374,0.015791,0.023732,-0.202319,0
12.2,1.9315,-12.6792,-20.8186,-1.036451,8.449416,4.886742,0.029932,-0.038301,-0.187749,0
12.3,2.0465,-13.3208,-19.9026,-0.946481,8.631509,4.205147,0.005803,0.083383,-0.013439,0
12.4,1.7738,-13.5598,-19.3299,-0.305444,8.400961,4.947998,0.03766,0.080848,-0.061026,0
12.5,0.7205,-13.9286,-19.0042,-0.707916,8.422736,4.845107,-0.015669,-0.120768,-0.245782,0
12.6,-1.305,-14.5014,-18.9227,-1.03669,8.388519,5.232505,-0.01628,-0.173272,-0.200242,0
12.7,-4.1989,-14.3978,-19.1652,-0.849811,8.306564,4.459264,0.118172,-0.044807,-0.061056,0
12.8,-7.543,-13.6606,-19.8064,-0.771326,8.486505,4.984728,0.055466,-0.065821,-0.060079,0
12.9,-11.6924,-12.0147,-21.3947,-0.908196,8.206425,5.49739,0.009102,-0.090255,-0.054611,0
13.0,-16.1521,-9.7593,-23.459,-0.952822,8.579585,4.846782,-0.01347,-0.067256,0.004306,0
13.1,-20.0022,-7.1884,-25.2802,-0.909153,8.242795,5.020022,-0.077702,-0.067226,0.011515,0
13.2,-22.9036,-4.1752,-26.6818,-1.162314,8.296963,4.613661,-0.180663,-0.092241,0.034094,0
13.3,-24.8728,-1.5516,-27.9623,-1.42672,8.624211,4.574239,0.031979,0.067287,0.135551,0
13.4,-25.8401,0.4243,-28.7096,-0.953301,8.044789,5.666084,-0.106901,0.202807,0.272323,0
13.5,-26.3392,1.3867,-28.9715,-0.754337,8.279406,4.638128,-0.035002,0.221591,0.151189,0
13.6,-26.2663,1.7896,-28.8855,-0.749552,8.470951,5.272465,-0.018082,0.057941,-0.064385,0
13.7,-25.8286,1.8358,-28.5774,-1.0002,8.152107,4.616951,-0.066523,-0.024954,-0.110139,0
13.8,-25.3162,1.8091,-28.224,-0.693321,8.532925,5.085705,0.018082,-0.011087,-0.103358,0
13.9,-25.1024,2.0742,-28.0522,-0.801954,8.118369,4.798447,-0.040103,-0.155526,-0.231884,0
14.0,-24.8885,2.3393,-27.8804,-1.046621,8.590353,4.813641,0.024801,-0.283289,-0.277455,0
14.1,-24.6746,2.6045,-27.7085,-1.404108,8.63139,4.536194,-0.036255,-0.17428,-0.061025,0
14.2,-24.4607,2.8696,-27.5367,-1.247139,8.144331,4.935077,0.057513,-0.03372,0.080237,0
14.3,-24.2469,3.1347,-27.3649,-1.142692,8.657233,5.298068,-0.027367,0.003115,0.140957,0
14.4,-24.033,3.3998,-27.193,-1.302892,8.277222,4.179065,-0.028673,0.063034,0.177227,0
14.5,-23.8191,3.665,-27.0212,-1.093759,8.151509,5.01739,-9.2e-05,0.159405,0.23219,0
