Timestamp,yaw,pitch,roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
29.2,5.6675,0.0949,-22.9494,-0.849691,8.424769,5.252485,-0.033292,-0.027886,0.085124,0
29.3,4.9728,-0.5424,-22.9468,-1.289133,8.444869,4.61408,0.037446,-0.027367,0.05119,0
29.4,4.205,-1.6652,-22.3993,-1.225723,8.640931,4.294368,-0.006796,-0.050931,0.063377,0
29.5,3.4278,-2.9924,-21.5719,-0.80359,8.25125,5.074778,0.015246,-0.003538,0.091375,0
29.6,2.9279,-4.4328,-20.3867,-0.774527,8.561669,5.512764,-0.013363,0.08995,0.14321,0
29.7,2.8211,-5.2653,-19.4076,-0.720359,8.344251,4.13396,0.00507,0.072174,0.062247,0
29.8,3.2539,-5.0943,-18.8883,-0.584686,8.535916,5.031388,-0.009255,0.003971,-0.041936,0
29.9,4.3724,-3.5241,-19.0829,-0.409053,8.603992,4.378267,0.066829,0.007147,-0.07761,0
30.0,6.3231,-0.1591,-20.2449,-0.772762,8.599207,3.920161,-0.000366,-0.061911,-0.15632,0
30.1,4.8576,-3.099,-21.3311,-1.105604,8.715019,4.731089,-0.042302,-0.080481,-0.135704,0
30.2,6.841,0.8859,-20.7367,-1.40351,8.45456,4.816991,-0.017562,-0.015608,-0.013072,0
30.3,7.8178,3.1387,-20.818,-1.212324,8.546684,4.439883,0.017929,-0.073212,-0.043524,0
30.4,8.0036,4.0377,-21.3648,-1.247498,8.608777,4.221777,0.030146,-0.219117,-0.104702,0
30.5,7.6139,3.9612,-22.1667,-1.074138,8.556973,5.004947,0.106107,-0.17037,0.012187,0
30.6,6.8643,3.2874,-23.0134,-0.981656,8.470742,3.979264,0.00504,-0.085063,0.151189,0
30.7,6.0604,2.5094,-23.4178,-0.725743,8.450373,4.099025,0.029902,0.049022,0.231426,0
30.8,5.5227,2.3884,-23.3926,-0.423171,8.265647,5.516533,0.01515,0.123028,0.189704,0
30.9,5.2066,2.1171,-23.0132,-0.527617,8.391988,5.433023,-0.011912,0.067134,0.107238,0
31.0,5.1122,2.8967,-22.4493,-0.619622,8.485547,4.566582,-0.046334,-0.035461,0.036713,0
31.1,5.2167,4.2444,-21.5606,-0.325065,8.637132,5.28754,-0.038362,0.027214,0.057146,0
31.2,4.8875,5.8005,-20.7133,-0.175035,8.425248,4.613003,0.019945,0.081245,0.071746,0
31.3,4.4614,7.1732,-20.1253,0.215593,8.240283,4.351228,0.044135,0.106291,0.001405,0
31.4,3.7583,8.7103,-20.1527,-0.202433,8.813005,4.87095,0.020769,0.090958,-0.127609,0
31.5,3.039,10.0359,-19.968,-1.636571,8.226285,5.624449,-0.022297,0.005712,-0.136742,0
31.6,1.45,11.1106,-19.2075,-1.394298,8.345567,4.288656,0.002657,0.100121,0.069822,0
31.7,0.1156,12.4741,-18.1384,-0.969213,8.600044,5.002674,-0.068356,0.106748,0.063041,0
